student_id,age,gender,major,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,study_environment,access_to_tutoring,family_income_range,parental_support_level,motivation_level,exam_anxiety_score,learning_style,time_management_score,exam_score,similarity_cluster,cluster_avg_gpa,id
130448,22,0,1,0.7685185185185185,0.36000000000000004,0.025,0,100.0,0.41891891891891886,1,7,4,0,7.5,1,4.0,3,5.6,0,0,10.4,3,1,0,0.7777777777777777,1.0,0.0,1,0.2222222222222222,1.0,3,1.0,1
171822,27,1,3,0.7132033487884543,0.22000000000000003,0.375,1,100.0,0.04054054054054046,1,6,3,2,6.8,1,4.0,4,2.8,0,4,12.0,0,0,1,0.4444444444444445,0.8888888888888888,0.20000000000000018,1,0.4333333333333334,1.0,3,1.0,2
124115,24,0,1,0.6388888888888888,0.42000000000000004,0.075,1,100.0,0.45945945945945943,0,4,1,2,6.4,1,4.0,7,5.7,0,4,9.6,3,1,2,0.6666666666666665,0.3333333333333333,1.0,2,0.4777777777777777,0.918032786885246,0,0.28636102491676496,3
127690,23,2,3,0.6299796631930854,0.86,0.375,0,100.0,0.581081081081081,2,1,4,0,7.3,0,4.0,4,5.1,0,2,14.0,4,0,1,0.2222222222222222,0.4444444444444445,1.0,3,0.17777777777777776,0.9836065573770492,1,0.6633220570802685,4
108534,26,2,3,0.6211720057708359,0.7200000000000001,0.55,0,100.0,0.18918918918918926,1,1,4,0,6.1,0,4.0,2,6.7,0,2,13.3,0,1,1,0.0,0.7777777777777777,0.40000000000000013,2,0.28888888888888886,0.9672131147540983,3,1.0,5
151686,26,2,2,0.6018518518518519,1.0,0.125,1,100.0,0.22972972972972971,1,4,4,2,8.5,0,4.0,4,6.4,0,3,12.9,1,0,1,0.2222222222222222,0.1111111111111111,1.0,1,0.8555555555555554,1.0,0,0.28636102491676496,6
157871,16,2,2,0.5740740740740741,0.7000000000000001,0.95,1,100.0,0.44594594594594583,0,2,4,1,6.7,0,4.0,5,3.2,0,3,14.9,0,1,1,0.4444444444444445,0.5555555555555556,0.8,0,0.5777777777777777,1.0,1,0.6633220570802685,7
102693,22,1,5,0.5648148148148148,0.32000000000000006,0.35,0,100.0,0.32432432432432434,1,3,0,0,10.0,1,4.0,5,5.0,0,3,9.5,3,0,2,0.7777777777777777,0.4444444444444445,1.0,0,0.06666666666666668,0.9508196721311475,1,0.6633220570802685,8
159870,16,2,0,0.537037037037037,0.6200000000000001,0.825,0,100.0,0.41891891891891886,1,7,4,1,5.2,0,4.0,2,4.7,0,0,12.3,3,1,2,0.2222222222222222,0.2222222222222222,1.0,3,0.3,0.9508196721311475,1,0.6633220570802685,9
138116,27,1,0,0.5185185185185185,0.44000000000000006,0.025,1,100.0,0.17567567567567566,1,0,2,2,9.7,0,4.0,2,4.2,0,5,9.4,2,1,1,1.0,0.7777777777777777,0.40000000000000013,3,0.6777777777777776,0.9016393442622952,3,1.0,10
107599,26,1,4,0.5,0.45999999999999996,0.525,1,100.0,0.4864864864864863,2,5,2,1,7.1,0,4.0,1,3.5,0,3,10.5,2,0,0,0.0,0.6666666666666665,0.6000000000000001,2,0.07777777777777778,1.0,3,1.0,11
161218,18,2,3,0.4995227129827863,0.42000000000000004,0.025,1,100.0,0.5270270270270271,0,5,3,0,7.6,1,4.0,4,5.1,0,3,9.4,4,0,2,0.4444444444444445,0.8888888888888888,0.20000000000000018,3,0.033333333333333326,1.0,4,0.964996205747525,12
158052,23,2,5,0.4907407407407407,0.8800000000000001,0.975,1,100.0,0.41891891891891886,0,1,0,2,7.5,0,4.0,8,5.5,0,2,15.2,3,0,1,0.5555555555555556,0.0,1.0,1,0.3888888888888889,1.0,1,0.6633220570802685,13
130684,24,0,3,0.48853456454173966,0.12,0.175,1,100.0,0.6756756756756755,1,3,3,2,9.6,0,4.0,7,3.7,0,4,6.6,3,1,0,0.5555555555555556,1.0,0.0,1,0.8222222222222222,0.9508196721311475,3,1.0,14
133705,27,0,1,0.4537037037037037,0.5599999999999999,0.425,1,100.0,0.2567567567567568,2,6,2,2,10.0,1,4.0,3,1.5,0,4,10.2,1,0,2,0.2222222222222222,0.5555555555555556,0.8,3,0.8555555555555554,1.0,3,1.0,15
117049,28,1,3,0.41868030392881894,0.9800000000000001,0.6,0,100.0,0.5540540540540538,1,6,0,2,7.300000000000001,0,4.0,7,7.5,0,5,13.2,0,0,0,0.3333333333333333,0.6666666666666665,0.6000000000000001,0,0.9555555555555555,1.0,3,1.0,16
103537,27,2,3,0.3938475081631722,0.24,0.625,1,100.0,0.5270270270270271,1,3,3,0,7.4,1,4.0,5,3.3,0,4,9.9,1,1,1,0.6666666666666665,0.4444444444444445,1.0,0,0.6111111111111112,1.0,0,0.28636102491676496,17
107822,21,1,3,0.3815527607279359,0.86,0.15,0,100.0,0.7162162162162161,0,7,1,1,8.9,1,4.0,2,1.8,0,1,10.0,4,0,0,0.4444444444444445,0.1111111111111111,1.0,0,0.12222222222222223,1.0,1,0.6633220570802685,18
111940,26,2,2,0.37037037037037035,0.45999999999999996,0.5,1,100.0,0.0,0,2,3,1,5.1,0,4.0,3,5.9,0,1,8.4,2,1,0,0.8888888888888888,0.3333333333333333,1.0,3,0.3222222222222222,0.9344262295081966,0,0.28636102491676496,19
144711,16,2,1,0.3518518518518518,0.45999999999999996,0.025,1,100.0,0.3783783783783783,1,7,3,2,6.3,0,4.0,4,3.9,0,5,7.4,1,1,1,0.5555555555555556,1.0,0.0,2,0.6444444444444444,1.0,4,0.964996205747525,20
126889,22,2,5,0.3425925925925926,0.86,0.4,1,100.0,0.5405405405405405,2,6,3,1,6.6,1,4.0,3,3.7,0,5,10.5,2,0,1,0.8888888888888888,1.0,0.0,0,0.16666666666666669,0.9016393442622952,4,0.964996205747525,21
